English,Translation
Can I try it on?,আমি কি এটা পরে দেখতে পারি?
I have a big dog.,আমার একটা বড় কুকুর আছে।
How old do I look?,আমাকে দেখে কত বছর বয়স বলে মনে হয়?
I can now do that.,আমি এখন ওটা করতে পারবো।
I lent Tom my car.,আমি টমকে আমার গাড়ি ধার দিয়েছিলাম।
May I put it here?,আমি কি এটা এখানে রাখতে পারি?
Tom saw you do it.,টম তোমাকে এটা করতে দেখেছে।
You are in my way.,আপনি আমার রাস্তা আটকে রেখেছেন।
You are in my way.,তুমি আমার রাস্তা আটকে রেখেছো।
You are in my way.,তুই আমার রাস্তা আটকে রেখেছিস।
Can I have my keys?,আমি কি আমার চাবিটা পেতে পারি?
Can I see that one?,আমি কি ওটা দেখতে পারি?
Do you work at all?,তুমি কি আদৌ কাজ করো?
I agreed to buy it.,আমি এটি কিনতে সম্মত হয়েছিলাম।
I bought a new car.,আমি একটি নতুন গাড়ি কিনেছি।
I can fix all this.,আমি এই সব ঠিক করতে পারব।
I feel bad for him.,ওর জন্য খুব খারাপ লাগছে।
I feel bad for him.,তার জন্য খুব খারাপ লাগছে।
I had to walk home.,আমাকে হেঁটে বাড়ি যেতে হয়েছিল।
I have lost my key.,আমি আমার চাবি হারিয়ে ফেলেছি।
I play with my son.,আমি আমার ছেলের সঙ্গে খেলি।
I ran to my mother.,আমি আমার মায়ের কাছে দৌড়ে গেলাম।
I want a pet tiger.,আমি একটি পোষা বাঘ চাই।
I want to help you.,আমি তোমাকে সাহায্য করতে চাই।
I was here in 2013.,আমি এখানে ২০১৩ তে এসেছিলাম।
I was hit by a car.,আমার একটা গাড়িতে ধাক্কা লেগেছে।
I'd be happy to go.,আমি যেতে পারলে খুশি হবে।
May I take a photo?,আমি কি একটা ছবি তুলতে পারি?
Tom has a blue car.,টমের একটা নীল গাড়ি আছে।
Tom saw me do that.,টম আমাকে সেটা করতে দেখেছে।
We do what we want.,আমরা যা চাই তাই করি।
Where can I buy it?,আমি এটা কোথা থেকে কিনতে পারব?
Where can I buy it?,আমি ওটা কোথা থেকে কিনতে পারব?
Can I get a blanket?,আমি কি একটা চাদর পেতে পারি?
Can you swim at all?,তুমি কি আদৌ সাতার কাটতে পারো?
Could it be a virus?,এটা কি ভাইরাস হতে পারে?
Do you have my book?,আপনার কাছে কি আমার বইটা আছে?
Do you have my book?,তোমার কাছে কি আমার বইটা আছে?
Do you travel a lot?,আপনি কি অনেক বেশি ভ্রমণ করেন?
I can come at three.,আমি তিনটার সময় আসতে পারবো।
I can do this alone.,আমি এটা একা করতে পারি।
I forgot to ask Tom.,আমি টমকে জিজ্ঞেস করতে ভুলে গিয়েছিলাম।
I know you are rich.,আমি জানি যে তুমি ধনী।
I like both of them.,আমি তাদের দুজনকেই পছন্দ করি।
I make €100 a day.,আমি দিনে €১০০ আয় করি।
I see you are awake.,আমি দেখছি তুমি জেগে আছো।
I sent you a letter.,আমি আপনাকে একটি চিঠি পাঠিয়েছিলাম।
I want to marry you.,আমি তোমাকে বিয়ে করতে চাই।
I wish I could swim.,আমি যদি সাঁতার কাটতে পারতাম।
I'll be back at six.,আমি ছয়টা সময়ে ফিরে আসবো।
I'll be back at ten.,আমি দশটা সময়ে ফিরে আসবো।
I'll be back by six.,আমি ছয়টা সময়ের আগে ফিরে আসবো।
I'm proud of my son.,আমি আমার ছেলের উপর গর্বিত।
Is it far from here?,ওটা কি এখান থেকে অনেক দূরে?
Let's give it a try.,আমরা একবার চেষ্টা করেই দেখি!
No one but Tom left.,টম ছাড়া আর কেউ চলে যায়নি।
We must act at once.,আমাদের এখুনি কাজে লেগে পড়তে হবে।
You may go home now.,তুমি এবার বাড়ি যেতে পারো।
You may go home now.,আপনি এবার বাড়ি যেতে পারেন।
Can I turn on the TV?,আমি কি টিভি চালাতে পারি?
Could you help a bit?,আপনি কি একটু সাহায্য করতে পারেন?
Did you speak at all?,আপনি কি আদৌ কথা বলেছেন?
Do you like to study?,আপনি কি পড়াশোনা করতে পছন্দ করেন?
Do you see him often?,আপনি কি প্রায়ই তার সাথে দেখা করেন?
How are Tom and Mary?,টম এবং মেরি কেমন আছে?
I am counting on you.,আমি আপনার উপর নির্ভর করে আছি।
I am counting on you.,আমি তোমার উপর নির্ভর করে আছি।
I did that last year.,আমি ওটা গত বছর করেছিলাম।
I don't like to cook.,আমি রান্না করতে পছন্দ করি না।
I don't want to cook.,আমি রান্না করতে চাই না।
I have a new red car.,আমার একটা নতুন লাল গাড়ি আছে।
I just can't take it.,আমি আর এটা নিতে পারছি না।
I like to eat apples.,আমি আপেল খেতে পছন্দ করি।
I live and work here.,আমি এখানে থাকি এবং কাজ করি।
I need to send a fax.,আমার একটা ফ্যাক্স পাঠানোর দরকার আছে।
I owe you an apology.,আমি তোমার কাছে ক্ষমা চাচ্ছি।
I saw Tom last night.,আমি কাল রাতে টমকে দেখেছিলাম।
I sold Tom a T-shirt.,আমি টমের কাছে একটি টি-শার্ট বিক্রি করেছি।
I think Tom is awake.,আমার মনে হয় টম জেগে আছে।
I want an MP3 player!,আমার একটা MP3 প্লেয়ার চাই!
I was late to school.,আমার স্কুল যেতে দেরী হয়েগেছিল।
I work at an embassy.,আমি একটি দূতাবাসে কাজ করি।
I'll be back at 2:30.,আমি সাড়ে দুইটা সময়ে ফিরে আসবো।
I'll be back by 2:30.,আমি সাড়ে দুইটা সময়ের আগে ফিরে আসবো।
May I ask a question?,আমি কি একটা প্রশ্ন করতে পারি?
May I turn on the TV?,আমি কি টিভি চালাতে পারি?
Tom and I were alone.,আমি আর টম একলা ছিলাম।
Tom lost his car key.,টম তার গাড়ির চাবি হারিয়ে ফেলেছে।
We can still do that.,আমরা এখনও সেটা করতে পারি।
Any child can do that.,যে কোনো শিশুই ওটা করতে পারে।
Any child can do that.,যে কোনো বাচ্চাই ওটা করতে পারে।
Can you get a day off?,তুমি কে একদিনের ছুটি নিতে পারবে?
Can you get a day off?,আপনি কে একদিনের ছুটি নিতে পারবেন?
Can you swim like Tom?,আপনি কি টমের মতো সাঁতার কাটতে পারেন?
Can you wait a minute?,তুমি কি এক মিনিটের জন্য অপেক্ষা করতে পারবে?
Can you wait a minute?,আপনি কি এক মিনিটের জন্য অপেক্ষা করতে পারবেন?
Do you have a vacancy?,আপনাদের কি ঘর খালি আছে?
Do you need a deposit?,কোনো টাকা জমা রাখতে হবে কি?
Does Tom need my help?,টমের কি আমার সাহায্য দরকার?
He acted as our guide.,উনি আমাদের পথপ্রদর্শক হিসাবে কাজ করলেন।
He is no longer a boy.,সে আর এখন ছোট ছেলে নেই।
He was 19 at the time.,তখন তার বয়স ছিল ১৯।
How high can you jump?,তুমি কত উঁচুতে লাফাতে পারো?
How much do I owe you?,আপনি আমার কাছ থেকে কত পাবেন?
I am 30 years old now.,আমার এখন তিরিশ বছর বয়স।
I am here on business.,আমি এখানে ব্যবসার জন্য এসেছি।
I bought it last week.,আমি গত সপ্তাহে এটা কিনেছিলাম।
I decided to call Tom.,আমি টমকে ফোন করার সিদ্ধান্ত নিলাম।
I found the book easy.,আমর বইটা সহজ বলে মনে হয়েছিল।
I had my money stolen.,আমার টাকা চুরি হয়ে গেছে।
I had my watch stolen.,আমার হাতঘড়ি চুরি হয়ে গেছে।
I know what Tom meant.,টম কী বুঝিয়েছি আমি জানি।
I promise I won't cry.,কথা দিচ্ছি আমি কাঁদবো না।
I think Tom went home.,আমার মনে হয় টম বাড়ি গেছে।
I want you to be here.,আমি চাই তুমি এখানে থাকো।
I won't be there long.,আমি সেখানে বেশিক্ষণ থাকব না।
Just try to keep calm.,একটু শান্ত থাকার চেষ্টা করো।
Just try to keep calm.,একটু শান্ত থাকার চেষ্টা করুন।
Just try to keep calm.,একটু শান্ত থাকার চেষ্টা কর।
Keep Tom away from me.,টমকে আমার থেকে দূরে রাখুন।
Keep Tom away from me.,টমকে আমার থেকে দূরে রাখো।
May I open the window?,আমি কি জানলাটা খুলতে পারি?
Nice to see you again.,আপনাকে আবার দেখে ভালো লাগলো।
Nice to see you again.,তোমাকে আবার দেখে ভালো লাগলো।
Nice to see you again.,তোমাদেরকে আবার দেখে ভালো লাগলো।
Nice to see you again.,আপনাদেরকে আবার দেখে ভালো লাগলো।
Please wake me at six.,আমাকে ছটার সময় জাগিয়ে দেবেন।
She can sew very well.,তিনি ভালো সেলাই করতে পারেন।
Tell Tom I'll be back.,টমকে বলেন যে আমি ফিরে আসবো।
The war ended in 1954.,যুদ্ধটা ১৯৫৪ সালে শেষ হয়েছিল।
Tom tried to hit Mary.,টম মেরিকে মারার চেষ্টা করলো।
